filename,notes,authors,licenses,urls
body/bodies/muscular/fur_black.png,"see details at https://opengameart.org/content/lpc-character-bases","bluecarrot16,JaidynReiman,Evert,TheraHedwig,MuffinElZangano,Durrani,Sander Frenken (castelonia),Benjamin K. Smith (BenCreating),Eliza Wyatt (ElizaWy),dalonedrau,Stephen Challener (Redshrike)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-barbarian-sprite-base,https://opengameart.org/content/lpc-muscular-swing-animation,https://opengameart.org/content/lpc-muscular-hurt-animation,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani"
body/wound/ribs.png,"","Benjamin K. Smith (BenCreating),Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-zombie"
body/wound/mouth.png,"","Benjamin K. Smith (BenCreating),Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-zombie"
body/tail/lizard/alt/adult/fg/black.png,"edited for v3 bases and recolored by bluecarrot16, additional animations added by JaidynReiman","Nila122,bluecarrot16,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/drakes-and-lizardfolk"
body/tail/lizard/alt/adult/bg/black.png,"edited for v3 bases and recolored by bluecarrot16, additional animations added by JaidynReiman","Nila122,bluecarrot16,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/drakes-and-lizardfolk"
body/wings/lizard/alt/adult/fg/fur_black.png,"edited for v3 bases and recolored by bluecarrot16, sit/jump/run/emote/revised combat by JaidynReiman","JaidynReiman,Nila122,bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/drakes-and-lizardfolk,https://opengameart.org/content/lpc-wings-new-animations"
body/wings/lizard/alt/adult/bg/fur_black.png,"edited for v3 bases and recolored by bluecarrot16, sit/jump/run/emote/revised combat by JaidynReiman","JaidynReiman,Nila122,bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/drakes-and-lizardfolk,https://opengameart.org/content/lpc-wings-new-animations"
head/heads/wartotaur/adult/fur_black.png,"original **wart-o-taur** concept and sprite by Redshrike, extended to 4 directions and head extracted by Evert, cleanup and hurt/cast animations by bluecarrot16","bluecarrot16,Evert,Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY 3.0","https://opengameart.org/content/tower-defense-prototyping-assets-4-monsters-some-tiles-a-background-image,https://opengameart.org/content/wartotaur-4-directions,https://opengameart.org/content/lpc-folk"
head/horns/backwards/adult/fg/horns.png,"","Nila122","OGA-BY 3.0,GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-lizard-headgear"
head/horns/backwards/adult/bg/horns.png,"","Nila122","OGA-BY 3.0,GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-lizard-headgear"
shoulders/plate/male/gold.png,"recolors, adapted to v3 bases by bluecarrot16","bluecarrot16,Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates"
arms/armour/plate/male/gold.png,"original by wulax, recolors by bigbeargames; adapted to v3 bases and further recolors by bluecarrot16","Michael Whitlock (bigbeargames),Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates"
arms/bracers/male/brass.png,"","Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
torso/waist/obi/male/brown.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,GPL 3.0","https://opengameart.org/content/lpc-kimono-relm"
legs/pants/muscular/walnut.png,"original muscular pants by ElizaWy, muscular by dalonedrau, cast and thrust frames by JaidynReiman","ElizaWy,JaidynReiman,dalonedrau,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-muscular-pants,https://opengameart.org/content/lpc-muscular-swing-animation,https://opengameart.org/content/lpc-muscular-hurt-animation"
feet/boots/fold/male/black.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,GPL 3.0","https://opengameart.org/content/lpc-kimono-relm,https://opengameart.org/content/lpc-expanded-socks-shoes"
weapon/polearm/trident/foreground/walk/gold.png,"original **trident** by daneeklu and gr3yh47; adapted to opposite hand and split into layers by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/polearm/trident/background/walk/gold.png,"original **trident** by daneeklu and gr3yh47; adapted to opposite hand and split into layers by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/polearm/trident/foreground/thrust/gold.png,"original **trident** by daneeklu and gr3yh47; adapted to opposite hand and split into layers by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-extended-weapon-animations"
weapon/polearm/trident/background/thrust/gold.png,"original **trident** by daneeklu and gr3yh47; adapted to opposite hand and split into layers by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-extended-weapon-animations"
